interaction,result,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
1,350,-382.37,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,351,-382.2,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,352,-381.98,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,353,-381.71,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,354,-381.15,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,355,-381.07,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,356,-380.89,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,357,-380.89,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,358,-380.89,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,359,-380.89,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,360,-380.89,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,361,-380.89,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,362,-380.81,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,363,-380.78,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,364,-380.78,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,365,-380.66,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,366,-380.57,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,367,-380.41,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,368,-380.39,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,369,-380.33,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,370,-380.26,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,371,-380.12,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,372,-379.98,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,373,-379.98,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,374,-379.98,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,375,-379.98,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,376,-379.98,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,377,-379.98,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,378,-379.95,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,379,-379.95,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,380,-379.95,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,381,-379.95,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,382,-379.95,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,383,-379.95,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,384,-379.88,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,385,-379.87,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,386,-379.84,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,387,-379.84,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,388,-379.84,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,389,-379.38,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,390,-379.38,0.0,10.0,3.0,1853775.0,0.0,0.0,-2.9546230637545056e-06
1,391,-379.08,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
1,392,-379.01,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,393,-378.96,0.0,8.5,4.5,1853775.0,0.0,0.0,-3.3362391621828624e-06
1,394,-378.95,0.0,6.0,7.0,1853775.0,0.0,0.0,-3.4959571548254724e-06
1,395,-377.6,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,396,-377.57,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,397,-375.8,13.0,0.0,0.0,1853762.0,1.0,1.0,1.0
1,398,-374.89,0.0,8.0,5.0,1853775.0,0.0,0.0,-3.4117048424201176e-06
1,399,-374.86,12.0,0.5,0.5,1853763.0,0.96,0.96,0.9599997302784309
