interaction,free_energy,TP,FP,FN,TN,TPR,PPV,MCC
9,-368.60,0.0,9.5,3.5,737505.0,0.0,0.0,-7.818564588325883e-06
25,-678.50,14.0,14.5,3.5,1830727.0,0.8,0.49122807017543857,0.6268788049085443
51,-301.30,0.0,16.0,8.0,544446.0,0.0,0.0,-2.077976354335888e-05
3,-643.90,13.0,3.0,5.0,1967123.0,0.7222222222222222,0.8125,0.7660303392911313
6,-560.90,12.0,0.0,0.0,1602933.0,1.0,1.0,1.0
8,-294.20,0.0,8.0,5.0,407253.0,0.0,0.0,-1.5529546444907135e-05
19,-968.10,18.0,3.0,4.5,3600568.0,0.8,0.8571428571428571,0.8280776362768716
91,-579.10,0.0,4.5,2.5,1594005.0,0.0,0.0,-2.104193275161547e-06
64,-278.10,0.0,13.0,5.5,539241.0,0.0,0.0,-1.568059961557429e-05
96,-562.40,0.0,8.0,4.0,1456071.0,0.0,0.0,-3.88499663788228e-06
20,-325.40,0.0,19.5,12.0,543403.0,0.0,0.0,-2.81496701045788e-05
10,-280.10,9.0,0.5,0.5,407244.0,0.9473684210526315,0.9473684210526315,0.9473671932889662
15,-335.60,0.0,8.5,3.0,594595.0,0.0,0.0,-8.492677597926081e-06
7,-581.80,0.0,6.0,6.0,1597578.0,0.0,0.0,-3.7556710633055913e-06
65,-379.30,0.0,14.0,4.0,613278.0,0.0,0.0,-1.2201978476303237e-05
101,-493.90,0.0,13.5,6.0,897130.0,0.0,0.0,-1.0031881878022485e-05
5,-566.00,19.0,0.0,0.0,1518134.0,1.0,1.0,1.0
57,-375.70,0.0,11.5,14.0,914628.0,0.0,0.0,-1.3872744616354968e-05
4,-296.30,0.0,12.5,1.5,427350.0,0.0,0.0,-1.0132341389706491e-05
